1,2,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27
date,month,week,day,weekday,anniversary,before_anniversary,after_anniversary,isHoliday,before_isHoliday,after_isHoliday,holiday_order,rain,fog,temp_highest,LYSM_similarDates_avg_orders,prediction_orders,ES_orders_25,ES_orders_75,similarDates_movingAvg_orders,currentFamilySavingCSI,underlyingInflationRate,importChangeRate,football_national_cnt,naverTrend_Shop_lastweek,class_orders
2008-01-01,Jan,week1,day1,Tue,脚沥,楷富,乞老,TRUE,TRUE,FALSE,4,FALSE,FALSE,-3,285.75,274.508635,244.166435,218.648985,269.333333,?,2.8,31.8,0,13,308.9999776
2008-01-02,Jan,week1,day2,Wed,乞老,脚沥,乞老,FALSE,TRUE,FALSE,0,FALSE,FALSE,1,107,129.948128,292.791609,241.236739,94.5,?,2.8,31.8,0,13,94.99995922
2008-01-03,Jan,week1,day3,Thu,乞老,乞老,乞老,FALSE,FALSE,FALSE,0,FALSE,FALSE,7,104,114.276484,144.447902,204.677554,93.5,?,2.8,31.8,0,13,109.9999447
2008-01-04,Jan,week1,day4,Fri,乞老,乞老,乞老,FALSE,FALSE,TRUE,0,FALSE,FALSE,4,124,145.323433,118.611976,181.008166,104,?,2.8,31.8,0,13,120.0000377
2008-01-05,Jan,week1,day5,Sat,乞老,乞老,乞老,TRUE,FALSE,TRUE,1,FALSE,FALSE,6,287.9,268.002838,119.652994,165.756124,214.5,?,2.8,31.8,0,13,186.999983
2008-01-06,Jan,week2,day6,Sun,乞老,乞老,乞老,TRUE,TRUE,FALSE,2,FALSE,TRUE,7,280.454546,184.354799,170.163249,171.067093,211,?,2.8,31.8,0,13,209.9999504
2008-01-07,Jan,week2,day7,Mon,乞老,乞老,乞老,FALSE,TRUE,FALSE,0,FALSE,TRUE,6,107,165.117138,200.040812,180.80032,88.666667,?,2.8,31.8,0,11,120.0000377
2008-01-08,Jan,week2,day8,Tue,乞老,乞老,乞老,FALSE,FALSE,FALSE,0,FALSE,TRUE,6,102,115.199861,140.010203,165.60024,106.333333,?,2.8,31.8,0,11,114.9999912
2008-01-09,Jan,week2,day9,Wed,乞老,乞老,乞老,FALSE,FALSE,FALSE,0,FALSE,FALSE,4,106.25,128.826285,121.252551,152.95018,102.666667,?,2.8,31.8,0,11,105.0000522
2008-01-10,Jan,week2,day10,Thu,乞老,乞老,乞老,FALSE,FALSE,FALSE,0,FALSE,FALSE,4,101.5,93.810867,109.063138,140.962635,120.333333,?,2.8,31.8,0,11,88.99993422
2008-01-11,Jan,week2,day11,Fri,乞老,乞老,乞老,FALSE,FALSE,TRUE,0,FALSE,FALSE,2,122.75,93.745256,94.015784,127.971976,113,?,2.8,31.8,0,11,121.0000162
2008-01-12,Jan,week2,day12,Sat,乞老,乞老,乞老,TRUE,FALSE,TRUE,1,FALSE,FALSE,4,281.1,217.796137,114.253946,126.228982,211,?,2.8,31.8,0,11,236.9999858
2008-01-13,Jan,week3,day13,Sun,乞老,乞老,乞老,TRUE,TRUE,FALSE,2,FALSE,FALSE,-1,274.818182,204.767998,206.313487,153.921737,195,?,2.8,31.8,0,11,243.9999893
2008-01-14,Jan,week3,day14,Mon,乞老,乞老,乞老,FALSE,TRUE,FALSE,0,FALSE,FALSE,2,92,108.468761,234.578372,176.441303,107.666667,?,2.8,31.8,0,9,92.00002376
2008-01-15,Jan,week3,day15,Tue,乞老,乞老,乞老,FALSE,FALSE,FALSE,0,FALSE,FALSE,0,94,117.507993,127.644593,155.330977,109.333333,?,2.8,31.8,0,9,100.9999842
2008-01-16,Jan,week3,day16,Wed,乞老,乞老,乞老,FALSE,FALSE,FALSE,0,FALSE,FALSE,-3,98.75,112.166298,107.661148,141.748233,101,?,2.8,31.8,0,9,113.0000342
